row_id,gene,description,Diet,GOterms
295,LOC103825396,product sulfotransferase family cytosolic 1B member 1-like,ProteinUp,"GO:0051923,GO:0042403,GO:0006805,GO:0008146,GO:0051923,GO:0042403,GO:0006805,GO:0008146,GO:0051923,GO:0042403,GO:0006805,GO:0008146"
296,LOC103825413,product red-sensitive opsin,ProteinUp,"GO:0007186,GO:0007601,GO:0007602,GO:0016038,GO:0016039,GO:0070207,GO:0004930,GO:0009881,GO:0031404,GO:0042803,GO:0001750,GO:0005794,GO:0016021,GO:0031982,GO:0044297,GO:0060342"
297,LOC103825432,product splicing regulatory glutamine/lysine-rich protein 1-like,LipidUp,
298,LOC103825496,product protein C19orf12 homolog,ProteinUp,GO:0031966
299,LOC103825502,"product beta-1,3-galactosyltransferase 2-like",LipidUp,
300,LOC103825875,product LOW QUALITY PROTEIN: endonuclease domain-containing 1 protein-like,LipidUp,
301,LOC103826179,"product tyrosine-protein kinase TXK, transcript variant X4",LipidUp,"GO:0004713,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0005634,GO:0005737,GO:0032729,GO:0046777,GO:0006468,GO:0045944,GO:0060335,GO:0004713,GO:0005524,GO:0004672,GO:0005515,GO:0010468"
302,LOC103826301,product estradiol 17-beta-dehydrogenase 11,ProteinUp,"GO:0016229,GO:0006710,GO:0005737,GO:0005811,GO:0016491,GO:0016491,GO:0016491"
303,LOC103826580,product uncharacterized LOC103826580,ProteinUp,
304,LOC103827225,product NADH dehydrogenase [ubiquinone] 1 subunit C2-like,ProteinUp,"GO:0005739,GO:0032981,GO:0005747,GO:0005737,GO:0005743,GO:0006120"
305,LOC103827237,"product transmembrane protein 126A-like, transcript variant X6",LipidUp,"GO:0005739,GO:0021554"
306,LOC108961180,product 17-beta-hydroxysteroid dehydrogenase 13-like,ProteinUp,
307,LOC108961323,product uncharacterized protein LOC108961323,ProteinUp,
308,LOC108961421,product uncharacterized LOC108961421,LipidUp,
309,LOC108961487,"product uncharacterized LOC108961487, transcript variant X2",ProteinUp,
310,LOC108961505,product uncharacterized LOC108961505,LipidUp,
311,LOC108961549,"product uncharacterized LOC108961549, transcript variant X2",ProteinUp,
312,LOC108961562,"product uncharacterized LOC108961562, transcript variant X2",ProteinUp,
313,LOC108961573,product uncharacterized LOC108961573,ProteinUp,
314,LOC108961626,"product uncharacterized LOC108961626, transcript variant X2",ProteinUp,
315,LOC108961628,product uncharacterized protein LOC108961628,ProteinUp,
316,LOC108961711,product uncharacterized LOC108961711,LipidUp,
317,LOC108961922,product uncharacterized LOC108961922,ProteinUp,"GO:0006278,GO:0043547,GO:0003964,GO:0005096,GO:0046872,GO:0005581,GO:0005737"
318,LOC108961930,"product V-set domain containing T-cell activation inhibitor 1-like, transcript variant X3",ProteinUp,
319,LOC108961935,product uncharacterized LOC108961935,LipidUp,
320,LOC108962096,product uncharacterized LOC108962096,ProteinUp,
321,LOC108962263,product uncharacterized LOC108962263,LipidUp,
322,LOC108962316,"product uncharacterized LOC108962316, transcript variant X5",ProteinUp,
323,LOC108962329,product uncharacterized LOC108962329,ProteinUp,
324,LOC108962351,product uncharacterized LOC108962351,LipidUp,
325,LOC108962378,"product uncharacterized LOC108962378, transcript variant X3",LipidUp,
326,LOC108962391,product uncharacterized LOC108962391,ProteinUp,
327,LOC108962473,"product uncharacterized LOC108962473, transcript variant X5",ProteinUp,
328,LOC108962628,product uncharacterized LOC108962628,LipidUp,
329,LOC108962681,product uncharacterized LOC108962681,ProteinUp,
330,LOC108962715,product uncharacterized LOC108962715,ProteinUp,
331,LOC108962732,product uncharacterized LOC108962732,ProteinUp,
332,LOC108962840,"product uncharacterized LOC108962840, transcript variant X2",ProteinUp,
333,LOC108962909,product uncharacterized LOC108962909,ProteinUp,
334,LOC108962939,"product uncharacterized LOC108962939, transcript variant X4",ProteinUp,
335,LOC108963015,product uncharacterized LOC108963015,ProteinUp,
336,LOC108963175,"product uncharacterized LOC108963175, transcript variant X2",ProteinUp,"GO:0006278,GO:0006952,GO:0015882,GO:0015986,GO:1902600,GO:0003676,GO:0003964,GO:0008520,GO:0015078,GO:0015229,GO:0000276,GO:0005576,GO:0016021,GO:0098590"
337,LOC108963208,product uncharacterized LOC108963208,LipidUp,
338,LOC108963214,product uncharacterized LOC108963214,LipidUp,
339,LOC108963283,"product protein INSYN2B-like, transcript variant X2",ProteinUp,
340,LOC108963377,product uncharacterized LOC108963377,LipidUp,
341,LOC108963382,product uncharacterized LOC108963382,ProteinUp,"GO:0006278,GO:0006413,GO:0006468,GO:0006869,GO:0006897,GO:0018057,GO:0030036,GO:0045292,GO:0097190,GO:1901222,GO:0000339,GO:0003743,GO:0003779,GO:0003964,GO:0004674,GO:0004720,GO:0005044,GO:0005507,GO:0005524,GO:0008289,GO:0005615,GO:0005634,GO:0005737,GO:0005856,GO:0005886,GO:0016021"
342,LOC108963396,product uncharacterized LOC108963396,ProteinUp,"GO:0000122,GO:0002040,GO:0032466,GO:0032877,GO:0033301,GO:0045944,GO:0048144,GO:0060718,GO:0070365,GO:0000978,GO:0001227,GO:0042802,GO:0046872,GO:0005654,GO:0005667,GO:0005730,GO:0005829"
343,LOC108963443,product uncharacterized LOC108963443,ProteinUp,
344,LOC108963542,product uncharacterized LOC108963542,LipidUp,
345,LOC108963614,product interferon-induced very large GTPase 1-like,ProteinUp,"GO:0005525,GO:0005634,GO:0005737"
346,LOC108963616,exception rearrangement required for product,LipidUp,
347,LOC108963618,exception rearrangement required for product,LipidUp,
348,LOC108963622,exception rearrangement required for product,ProteinUp,GO:0016021
349,LOC108963765,product serine/threonine-protein kinase PAK 3-like,ProteinUp,
350,LOC108963818,product vacuolar protein sorting-associated protein 74-like,ProteinUp,"GO:0006278,GO:0006310,GO:0006508,GO:0007409,GO:0015074,GO:0044826,GO:0046718,GO:0075713,GO:0090502,GO:1905606,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0008270,GO:0016021"
351,LOC108963822,product uncharacterized protein LOC108963822 isoform X2,ProteinUp,
352,LOC108963824,product uncharacterized LOC108963824,ProteinUp,
353,LOC108963894,product uncharacterized LOC108963894,ProteinUp,
354,LOC108963904,product uncharacterized LOC108963904,ProteinUp,
355,LOC108964053,product uncharacterized protein LOC108964053 isoform X2,LipidUp,
356,LOC108964100,product uncharacterized LOC108964100,LipidUp,
357,LOC108964108,"product uncharacterized LOC108964108, transcript variant X4",ProteinUp,
358,LOC108964109,product basic proline-rich protein-like,LipidUp,
359,LOC108964137,product uncharacterized LOC108964137,ProteinUp,
360,LOC108964159,"product uncharacterized LOC108964159, transcript variant X4",ProteinUp,
361,LOC108964163,product pre-mRNA-processing factor 39-like,LipidUp,
362,LOC108964164,product uncharacterized LOC108964164,LipidUp,
363,LOC108964171,product uncharacterized LOC108964171,LipidUp,
364,LOC108964187,product V-type proton ATPase catalytic subunit A-like,LipidUp,
365,LOC108964189,product bifunctional epoxide hydrolase 2-like,LipidUp,
366,LOC108964202,product uncharacterized LOC108964202,LipidUp,"GO:0006508,GO:0008217,GO:0019885,GO:0045050,GO:0071816,GO:0008270,GO:0032977,GO:0070006,GO:0072546"
367,LOC108964211,product secernin-2-like,LipidUp,
368,LOC108964224,product uncharacterized LOC108964224,ProteinUp,
369,LOC108964228,product uncharacterized LOC108964228,LipidUp,
370,LOC108964489,product uncharacterized LOC108964489,LipidUp,
371,LOC108964630,product uncharacterized protein LOC108964630,ProteinUp,
372,LOC115483874,product uncharacterized LOC115483874,LipidUp,"GO:0031175,GO:0005516,GO:0008017,GO:0030507,GO:0005737,GO:0005874"
373,LOC115483902,product uncharacterized LOC115483902,ProteinUp,"GO:0016567,GO:0004842,GO:0016874"
374,LOC115483951,product anoctamin-8-like,ProteinUp,
375,LOC115483954,product uncharacterized LOC115483954,ProteinUp,
376,LOC115483962,product uncharacterized LOC115483962,ProteinUp,
377,LOC115483985,product uncharacterized LOC115483985,LipidUp,"GO:0006413,GO:0003743"
378,LOC115484022,product proto-oncogene vav-like,ProteinUp,
379,LOC115484047,"product uncharacterized LOC115484047, transcript variant X2",ProteinUp,"GO:0008270,GO:0016491,GO:0016021"
380,LOC115484057,product collagen alpha-1(I) chain-like,ProteinUp,
381,LOC115484058,product tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,ProteinUp,"GO:0002943,GO:0000049,GO:0017150,GO:0050660,GO:0016021"
382,LOC115484070,product uncharacterized protein LOC115484070 isoform X2,ProteinUp,
383,LOC115484075,product uncharacterized LOC115484075,ProteinUp,
384,LOC115484094,product uncharacterized LOC115484094,ProteinUp,
385,LOC115484100,product uncharacterized LOC115484100,LipidUp,
386,LOC115484124,product uncharacterized LOC115484124,LipidUp,
387,LOC115484150,"product uncharacterized protein C15orf39 homolog, transcript variant X2",LipidUp,
388,LOC115484186,product uncharacterized LOC115484186,ProteinUp,
389,LOC115484232,product uncharacterized LOC115484232,ProteinUp,
390,LOC115484242,product E3 ubiquitin-protein ligase RNF115-like,LipidUp,"GO:0009987,GO:0016567,GO:0016491,GO:0016874,GO:0046872,GO:0061630,GO:0110165"
391,LOC115484272,product tyrosine-protein kinase JAK3-like,LipidUp,
392,LOC115484275,product uncharacterized LOC115484275,ProteinUp,"GO:0016567,GO:0016874,GO:0046872,GO:0061630"
393,LOC115484288,product mucin-1-like,ProteinUp,
394,LOC115484300,product zinc finger protein 189-like,ProteinUp,
395,LOC115484415,product protein FAM136A-like,LipidUp,
396,LOC115484478,product uncharacterized LOC115484478,ProteinUp,"GO:0006355,GO:0030522,GO:0004879,GO:0008270,GO:0043565"
397,LOC115484519,"product uncharacterized LOC115484519, transcript variant X2",ProteinUp,
398,LOC115484574,"product uncharacterized LOC115484574, transcript variant X3",LipidUp,"GO:0005581,GO:0110165"
399,LOC115484580,"product collagen alpha-3(IV) chain-like, transcript variant X3",ProteinUp,
400,LOC115484595,"product uncharacterized LOC115484595, transcript variant X4",LipidUp,
401,LOC115484605,product uncharacterized LOC115484605,ProteinUp,
402,LOC115484647,product uncharacterized LOC115484647,LipidUp,
403,LOC115484661,product uncharacterized LOC115484661,ProteinUp,
404,LOC115484670,product uncharacterized LOC115484670,ProteinUp,
405,LOC115484758,product U2 spliceosomal RNA,LipidUp,GO:0016021
406,LOC115484838,product uncharacterized LOC115484838,LipidUp,
407,LOC115484860,"product uncharacterized LOC115484860, transcript variant X2",LipidUp,
408,LOC115484902,product zinc finger protein 239-like,ProteinUp,
409,LOC115484903,product uncharacterized LOC115484903,LipidUp,
410,LOC115484941,product uncharacterized LOC115484941,ProteinUp,
411,LOC115484993,"product protein PET117 homolog, mitochondrial",ProteinUp,
412,LOC115485000,product uncharacterized LOC115485000,ProteinUp,"GO:0000122,GO:0006275,GO:0006325,GO:0007130,GO:0007286,GO:0007616,GO:0009267,GO:0009566,GO:0010424,GO:0018027,GO:0035265,GO:0036166,GO:0044030,GO:0045471,GO:0048148,GO:0048599,GO:0048665,GO:0051569,GO:0051570,GO:0060992,GO:0070734,GO:0071314,GO:0071466,GO:1902902,GO:0000977,GO:0001222,GO:0002039,GO:0008270,GO:0046974,GO:0046976,GO:0070742,GO:1990841,GO:0000785,GO:0016607"
413,LOC115485008,product gallinacin-10-like,LipidUp,"GO:0006952,GO:0005576"
414,LOC115485048,product protein TESPA1-like,ProteinUp,
415,LOC115485061,"product Purkinje cell protein 4-like protein 1, transcript variant X4",LipidUp,
416,LOC115485120,product uncharacterized LOC115485120,ProteinUp,
417,LOC115485130,product uncharacterized LOC115485130,LipidUp,
418,LOC115485139,product serine/threonine-protein kinase PAK 3-like,ProteinUp,"GO:0006468,GO:0004674,GO:0005524,GO:0046872"
419,LOC115485140,product serine/threonine-protein kinase PAK 3-like,ProteinUp,
420,LOC115485151,product killer cell lectin-like receptor subfamily G member 1,ProteinUp,
421,LOC115485272,product small nucleolar RNA SNORA53,ProteinUp,
422,LOC115485280,product uncharacterized LOC115485280,LipidUp,
423,LOC115485281,product LOW QUALITY PROTEIN: CDK5 regulatory subunit-associated protein 3-like,LipidUp,
424,LOC115485351,product uncharacterized LOC115485351,LipidUp,
425,LOC115485368,product uncharacterized LOC115485368,LipidUp,"GO:0006278,GO:0006310,GO:0006508,GO:0007186,GO:0015074,GO:0019068,GO:0044826,GO:0046718,GO:0050911,GO:0075713,GO:0090502,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004930,GO:0004984,GO:0008270,GO:0016021"
426,LOC115485381,product plectin-like,ProteinUp,
427,LOC115485385,"product uncharacterized LOC115485385, transcript variant X3",LipidUp,
428,LOC115485388,product uncharacterized protein LOC115485388 isoform X3,LipidUp,
429,LOC115485401,product uncharacterized LOC115485401,ProteinUp,
430,LOC115485443,product uncharacterized LOC115485443,ProteinUp,
431,LOC115485444,"product uncharacterized LOC115485444, transcript variant X2",LipidUp,
432,LOC115485457,product uncharacterized protein LOC115485457 isoform X3,ProteinUp,
433,LOC115485458,product proteoglycan 3-like,ProteinUp,
434,LOC115485483,product uncharacterized protein LOC115485483,ProteinUp,
435,LOC115485486,product uncharacterized LOC115485486,LipidUp,
436,LOC115485487,product uncharacterized LOC115485487,LipidUp,
437,LOC115485489,"product uncharacterized LOC115485489, transcript variant X2",ProteinUp,
438,LOC115485494,product uncharacterized LOC115485494,ProteinUp,
439,LOC115485505,product small nucleolar RNA SNORA23,ProteinUp,
440,LOC115485523,product uncharacterized LOC115485523,LipidUp,
441,LOC115485524,product uncharacterized LOC115485524,LipidUp,
442,LOC115485526,product uncharacterized LOC115485526,ProteinUp,
443,LOC115485573,product potassium-transporting ATPase alpha chain 2-like,LipidUp,"GO:0006412,GO:0071805,GO:0003723,GO:0003735,GO:0005524,GO:0008556,GO:0016887,GO:0046872,GO:0005840,GO:0005886,GO:0016021"
444,LOC115485575,product zinc finger protein ubi-d4-like,LipidUp,
445,LPL,product lipoprotein lipase,ProteinUp,"GO:0004465,GO:0042803,GO:0004806,GO:0006633,GO:0019433,GO:0034372,GO:0042632,GO:0070328,GO:0005615,GO:0005509,GO:0005102,GO:0008201,GO:0034185,GO:0006631,GO:0008970,GO:0010886,GO:0032722,GO:0071813,GO:0055096,GO:0010890,GO:0043395,GO:0034371,GO:0045600,GO:0052689,GO:0006629,GO:0005515,GO:0016298,GO:1902494"
446,LTC4S,"product leukotriene C4 synthase, transcript variant X2",ProteinUp,"GO:0006691,GO:0008047,GO:0016021"
447,LYPD6B,product ly6/PLAUR domain-containing protein 6B isoform X2,ProteinUp,GO:0030548
448,LYSMD1,"product LysM domain containing 1, transcript variant X2",LipidUp,
449,LYSMD3,product LysM domain containing 3,ProteinUp,"GO:0005886,GO:0005794,GO:0007030"
450,MAST3,product microtubule-associated serine/threonine-protein kinase 3 isoform X3,LipidUp,"GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0000287,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0005515"
451,MAT1A,product S-adenosylmethionine synthase,ProteinUp,"GO:0006556,GO:0004478,GO:0005524,GO:0006556,GO:0004478,GO:0005524"
452,MCCC2,"product methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",ProteinUp,"GO:0005739,GO:0005759,GO:0004485,GO:1905202,GO:0016874,GO:0002169"
453,MEAK7,product MTOR-associated protein MEAK7,ProteinUp,"GO:0005737,GO:0016020,GO:0005829,GO:0005654,GO:0005730,GO:0031667,GO:0005765,GO:0030334,GO:0031929,GO:0032868,GO:0043200,GO:0150032,GO:0042127,GO:1903204"
454,MED10,product mediator of RNA polymerase II transcription subunit 10,ProteinUp,"GO:0005654,GO:0016592,GO:0006357,GO:0003712,GO:0005634,GO:0070847"
455,MEIS2,product Meis homeobox 2,ProteinUp,"GO:0006355,GO:0003677,GO:0003677,GO:0005634,GO:0043565,GO:0000978,GO:0001228,GO:0045944,GO:0008542,GO:0045638,GO:0001654,GO:1990837,GO:0045931,GO:0110024,GO:0006355"
456,METTL23,product methyltransferase-like protein 23,LipidUp,"GO:0005634,GO:0005737,GO:0032991,GO:0031072,GO:0045944,GO:0050890,GO:0044727,GO:0001940,GO:0034971,GO:0140297,GO:0035642,GO:0044725,GO:0001939"
457,METTL26,"product methyltransferase like 26, transcript variant X3",ProteinUp,
458,METTL8,product methyltransferase-like protein 8 isoform X4,LipidUp,"GO:0005634,GO:0005737,GO:0007519,GO:0045444,GO:0016573,GO:0004402,GO:0008174,GO:0080009"
459,METTL9,product methyltransferase-like protein 9 isoform X3,ProteinUp,"GO:0005783,GO:0106370"
460,MFSD8,product major facilitator superfamily domain-containing protein 8,LipidUp,"GO:0055085,GO:0022857,GO:0016020,GO:0048666,GO:0005764,GO:0007040,GO:0010506,GO:0038202,GO:0097352,GO:1905165,GO:0055085,GO:0022857"
461,MIPEP,product mitochondrial intermediate peptidase,ProteinUp,"GO:0008237,GO:0004222,GO:0006508,GO:0005739,GO:0008237,GO:0004222,GO:0006508,GO:0008237,GO:0004222,GO:0006508,GO:0004222,GO:0006508,GO:0008237,GO:0004222,GO:0006508,GO:0008237,GO:0004222,GO:0006508"
462,MKKS,"product McKusick-Kaufman syndrome, transcript variant X9",ProteinUp,"GO:0005634,GO:0005737,GO:0005813,GO:0060324,GO:0048854,GO:0021987,GO:0035176,GO:0045776,GO:0007286,GO:0036064,GO:0007608,GO:0060271,GO:0051216,GO:0010467,GO:0021766,GO:0042311,GO:0010629,GO:1905515,GO:0050910,GO:0045494,GO:0045444,GO:0040018,GO:0051131,GO:0034260,GO:0051492,GO:0030837,GO:0031514,GO:0014824,GO:0021756,GO:0033210,GO:0044321,GO:0038108,GO:0060296,GO:1902636,GO:0061629,GO:0051082,GO:0006457,GO:0016887,GO:0005524,GO:0060271,GO:0051082,GO:0006457,GO:0016887,GO:0005524"
463,MLH1,"product mutL homolog 1, transcript variant X4",ProteinUp,"GO:0005634,GO:0005654,GO:0006281,GO:0003682,GO:0019899,GO:0007283,GO:0051321,GO:0009617,GO:0006974,GO:0000793,GO:0000794,GO:0001673,GO:0005694,GO:0045141,GO:0008630,GO:0000795,GO:0016321,GO:0045143,GO:0007129,GO:0006298,GO:0007140,GO:0048477,GO:0045190,GO:0007131,GO:0016446,GO:0003697,GO:0000289,GO:0045132,GO:0005712,GO:0032407,GO:0000712,GO:0002204,GO:0006303,GO:0007060,GO:0016447,GO:0043060,GO:0045950,GO:0051257,GO:0032137,GO:0048298,GO:0048304,GO:0005715,GO:0032389,GO:0032300,GO:0030983,GO:0016887,GO:0005524"
464,MOSPD1,product motile sperm domain-containing protein 1,ProteinUp,"GO:0000122,GO:0045944,GO:0005737,GO:0048471,GO:0005634"
465,MOSPD2,product motile sperm domain-containing protein 2 isoform X2,ProteinUp,"GO:0005887,GO:0090026,GO:0005783,GO:0090023,GO:0044232,GO:0140284"
466,MPND,product MPN domain containing,LipidUp,"GO:0070122,GO:0005515,GO:0140492,GO:0070122,GO:0005515,GO:0140492"
467,MPP5,product membrane palmitoylated protein 5,ProteinUp,"GO:0042802,GO:0032991,GO:0008104,GO:0005912,GO:0005886,GO:0045177,GO:0010467,GO:0005737,GO:0043220,GO:0021954,GO:0021987,GO:0019904,GO:0002011,GO:0017015,GO:0007009,GO:0032287,GO:0035750,GO:0035749,GO:0043219,GO:0005515"
468,MPST,"product mercaptopyruvate sulfurtransferase, transcript variant X2",ProteinUp,"GO:0043005,GO:0016784,GO:0070814,GO:0004792"
469,MPZ,product myelin protein zero,ProteinUp,
470,MRM1,"product rRNA methyltransferase 1, mitochondrial",ProteinUp,
471,MRPL19,product mitochondrial ribosomal protein L19,ProteinUp,"GO:0005634,GO:0005739,GO:0005762,GO:0005840,GO:0006412,GO:0003735"
472,MRPL22,product mitochondrial ribosomal protein L22,ProteinUp,"GO:0005739,GO:0005762,GO:0015934,GO:0005840,GO:0006412,GO:0003735"
473,MRPL46,product mitochondrial ribosomal protein L46,ProteinUp,"GO:0005654,GO:0030054,GO:0005739,GO:0005762,GO:0003735"
474,MRPL53,"product mitochondrial ribosomal protein L53, transcript variant X2",ProteinUp,
475,MRPS18A,product mitochondrial ribosomal protein S18A,ProteinUp,"GO:0005739,GO:0005763,GO:0005762,GO:0005840,GO:0006412,GO:0003735"
476,MRPS9,product mitochondrial ribosomal protein S9,ProteinUp,"GO:0005840,GO:0006412,GO:0003735,GO:0005739,GO:0005730,GO:0005840,GO:0006412,GO:0003735"
477,MSTO1,product protein misato homolog 1,ProteinUp,"GO:0005829,GO:0005741,GO:0007005,GO:0005737,GO:0048311,GO:0005761,GO:0006915,GO:0015935,GO:0005761,GO:0006915,GO:0015935,GO:0005761,GO:0006915,GO:0015935,GO:0005761,GO:0006915,GO:0015935"
478,MTAP,product S-methyl-5'-thioadenosine phosphorylase,ProteinUp,"GO:0017061,GO:0005829,GO:0005654,GO:0016763,GO:0009116,GO:0003824"
479,MTFR2,product mitochondrial fission regulator 2,ProteinUp,"GO:0005739,GO:0007005,GO:0000266,GO:0009060"
480,MTG2,product mitochondrial ribosome-associated GTPase 2,ProteinUp,"GO:0005743,GO:0005759,GO:0005761,GO:0003924,GO:0044065,GO:0070129,GO:0000287,GO:0005525"
481,MTIF3,"product translation initiation factor IF-3, mitochondrial",ProteinUp,"GO:0008135,GO:0043024,GO:0032790,GO:0070124,GO:0006413,GO:0003743"
482,MTRES1,product uncharacterized protein C6orf203 homolog,ProteinUp,"GO:0003723,GO:0005759,GO:0000049,GO:0043023,GO:0005739,GO:1903108,GO:0072344"
483,MYB,product transcriptional activator Myb,LipidUp,"GO:0006355,GO:0005829,GO:0005654,GO:0000122,GO:0000978,GO:0001228,GO:0006338,GO:0045944,GO:0051574,GO:0045892,GO:0045893,GO:0051571,GO:0045624,GO:0006355,GO:1901533,GO:0006355,GO:0006355"
484,MYH11,"product myosin heavy chain 11, transcript variant X4",ProteinUp,"GO:0016459,GO:0003774,GO:0005524,GO:0005515,GO:0016459,GO:0003774,GO:0005524,GO:0005515"
485,N4BP2L1,product NEDD4 binding protein 2 like 1,ProteinUp,
486,"NADK2","product NAD kinase 2, mitochondrial",ProteinUp,"GO:0042803,GO:0005739,GO:0019674,GO:0003951"
487,NBN,"product nibrin, transcript variant X2",ProteinUp,
488,NCALD,product neurocalcin-delta,LipidUp,"GO:0015631,GO:0003073,GO:0003779,GO:0030276,GO:0019722,GO:0005509"
489,NCKAP5L,product NCK associated protein 5 like,LipidUp,
490,NDUFA4,product NDUFA4 mitochondrial complex associated,ProteinUp,
491,NDUFS1,product NADH:ubiquinone oxidoreductase core subunit S1,ProteinUp,"GO:0005739,GO:0032981,GO:0005747,GO:0005758,GO:0072593,GO:0008137,GO:0008637,GO:0045333,GO:0046034,GO:0051881,GO:0009055,GO:0016651,GO:0042773,GO:0016491,GO:0051536,GO:0016020,GO:0006120,GO:0005743"
492,NDUFS3,product NADH:ubiquinone oxidoreductase core subunit S3,ProteinUp,"GO:0005739,GO:0016604,GO:0032981,GO:0005747,GO:0072593,GO:0031966,GO:0030308,GO:2001243,GO:0008137,GO:0003954,GO:0016651,GO:0006120,GO:0005743"
493,NEDD1,product protein NEDD1,ProteinUp,GO:0005515
494,NEK2,product serine/threonine-protein kinase Nek2,ProteinUp,"GO:0006468,GO:0004672,GO:0005654,GO:0032991,GO:0032212,GO:0046777,GO:0051973,GO:1904355,GO:0090307,GO:0007059,GO:0005813,GO:0001824,GO:0000776,GO:0019903,GO:0000922,GO:0000794,GO:0000070,GO:0030496,GO:0043392,GO:0046602,GO:0051299,GO:0051988,GO:1903126,GO:0005524"
495,NFATC1,"product nuclear factor of activated T-cells, cytoplasmic 1 isoform X3",LipidUp,"GO:0005654,GO:0016604,GO:0005634,GO:0045893,GO:0045944,GO:0033173,GO:0035556,GO:1905064,GO:0000785,GO:1990837,GO:0003700,GO:0006355,GO:0003677,GO:0003700,GO:0006355,GO:0003677"
496,NFKBIE,product NFKB inhibitor epsilon,ProteinUp,"GO:0005829,GO:0005654,GO:0001650,GO:0005515"
497,NFXL1,"product nuclear transcription factor, X-box binding like 1",LipidUp,"GO:0008270,GO:0005634,GO:0003700,GO:0008270,GO:0005634,GO:0003700"
498,NLRC5,product protein NLRC5 isoform X2,ProteinUp,
499,NMB,"product neuromedin B, transcript variant X2",ProteinUp,
500,NME5,product nucleoside diphosphate kinase homolog 5 isoform X4,LipidUp,"GO:0048515,GO:0005929,GO:0036126,GO:0060271,GO:0006241,GO:0007286,GO:0006228,GO:0006183,GO:0006165,GO:0003351,GO:0021591,GO:0004550,GO:1902176,GO:0051649,GO:0048515,GO:0006241,GO:0006228,GO:0006183,GO:0006165,GO:0004550"
501,NME6,product nucleoside diphosphate kinase 6 isoform X2,ProteinUp,
502,NME9,product thioredoxin domain-containing protein 6 isoform X3,ProteinUp,
503,NMRK2,product nicotinamide riboside kinase 2,ProteinUp,"GO:0005654,GO:0043231,GO:0005886,GO:0045662"
504,NOP16,product nucleolar protein 16,ProteinUp,
505,NOS2,"product nitric oxide synthase, inducible",ProteinUp,"GO:0005737,GO:0010629,GO:0042127,GO:0005777,GO:0042803,GO:0001666,GO:0007623,GO:0071346,GO:0032496,GO:0009617,GO:0005829,GO:0048471,GO:0030863,GO:0071222,GO:0050660,GO:0004517,GO:0006809,GO:0032755,GO:0050796,GO:0042742,GO:0020037,GO:0010181,GO:0032757,GO:1900015,GO:0006801,GO:0034617,GO:0034618,GO:0006527,GO:0018119,GO:0032310,GO:0042177,GO:0051712,GO:0071466,GO:0050661,GO:0005516,GO:0016491"
506,NPHP1,product nephrocystin-1,ProteinUp,"GO:0005911,GO:1903348,GO:0031514,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515"
507,NQO2,product ribosyldihydronicotinamide dehydrogenase [quinone] isoform X2,ProteinUp,"GO:0005829,GO:0005654,GO:0031404,GO:0042803,GO:0001512,GO:0008270,GO:0009055,GO:0016491,GO:0016661,GO:0071949,GO:1904408,GO:1905594,GO:1901662"
508,NSD1,product nuclear receptor binding SET domain protein 1,LipidUp,"GO:0018024,GO:0005634,GO:0005515,GO:0018024,GO:0005634,GO:0005515,GO:0018024,GO:0005634,GO:0005515,GO:0045893,GO:0008270,GO:0000978,GO:0003712,GO:0050681,GO:1903025,GO:0033135,GO:0046975,GO:0000414,GO:0018024,GO:0005634,GO:0005515,GO:0018024,GO:0005634,GO:0005515"
509,NSMCE4A,"product NSE4 homolog A, SMC5-SMC6 complex component",ProteinUp,"GO:0005654,GO:0016604,GO:0030915,GO:2001022,GO:0005634,GO:0006281"
510,NT5C,"product 5', 3'-nucleotidase, cytosolic",ProteinUp,"GO:0005634,GO:0005737,GO:0042802,GO:0005829,GO:0009264,GO:0008252,GO:0008253,GO:0016791,GO:0019103,GO:0009223,GO:0016311,GO:0046079,GO:0050483,GO:0006204,GO:0006249,GO:0046050,GO:0046055,GO:0046074,GO:0000255"
511,NTPCR,"product nucleoside-triphosphatase, cancer-related, transcript variant X4",ProteinUp,GO:0017111
